id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
745127837948996370,*Brand New* Beautiful Historic House in Heart of C,158439641,GH Hospitality,,Near South,39.93807,-82.99727,Entire home/apt,175,2,4,2022-11-27,2.31,75,364,4,2022-2920
745556632346151264,Vintage/Modern Styled Cozy One Bedroom,165422724,Will And Jessie,,Hilltop,39.95722,-83.0838,Entire home/apt,66,1,4,2022-12-24,2.61,2,321,4,2022-3125
745576103641807990,Beautiful 4 Bedroom Bungalow In Victorian Village,33615979,Charlotte,,Near North/University,39.98199,-83.01855,Entire home/apt,332,1,3,2022-12-19,2.50,4,62,3,2022-3176
745612882710150295,"Westerville Condo w/Pool, Free Parking & Mini Bar",485066248,Sarah,,Far North,40.1364256,-82.97040179999999,Entire home/apt,89,2,1,2022-11-21,0.79,1,84,1,2021-2223
745671969593545179,Pretty in Pink- City Retreat!,149742461,Corey,,Near East,39.96324,-82.96886,Entire home/apt,72,1,4,2022-12-11,2.61,16,82,4,2022-2290
745769385798874125,Trolley District Treasure/1 BR Apt,63469270,Katie,,Near East,39.9616,-82.96202,Entire home/apt,79,1,4,2022-11-13,1.94,15,363,4,2022-2464
745794164411299154,Old Towne East - 1 BR Apt - Steps from E Market!,63469270,Katie,,Near East,39.96208,-82.96205,Entire home/apt,80,1,5,2022-11-27,2.38,15,363,5,2022-2464
745927340879585415,Columbus Modern Abode- Teal My Heart Away,149742461,Corey,,Near East,39.96474,-82.96849,Entire home/apt,81,1,1,2022-12-23,1,16,85,1,2022-2295
746125523689836838,Overlook - Private Hot Tub! King Bed in Ranch Home,81284876,Jeffrey,,Clintonville,40.04544,-83.00109,Entire home/apt,192,2,10,2022-12-17,6.12,1,96,10,2022-3323
746229499418756984,"Charming, Newly Updated Home!",246088509,Christian,,Near South,39.92876,-82.99271,Entire home/apt,101,30,0,,,2,364,0,
